event_id,domain,event_type,stage,outcome,decision_driver,evidence_snippet,confidence_original,confidence_boosted,primary_entity_count,context_entity_count,entities_primary,entities_context,entities_all,domain_id,domain_name,overlay_id,paper_id,created_at
46cd4d4f5447bada,longevity,decision_point,in_vivo,unknown,,"behavior in vivo and in vitro of cervical cancer, Transl.",med,med,0,2,,model:IN VIVO; model:IN VITRO,model:IN VIVO; model:IN VITRO,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:26Z
09d65dfeb17f2628,longevity,regulatory_risk,in_vivo,unknown,,The exploration of these regulatory mechanisms will continue in CRC development.,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:25Z
2642052472d105f6,longevity,manufacturing_constraint,unknown,unknown,,"In addition, PCBP2 is an RNA-binding protein and affects biological Furthermore, RNA-seq analysis was used to investigate downstream processes by regulating mRNA stability and translation.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:25Z
6ba4b0ff6af8c3f8,longevity,manufacturing_constraint,unknown,unknown,,"complicated mechanisms, besides mRNA stability, they also affect RNA processing and translation.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:25Z
966a65b1ddc6a37a,longevity,manufacturing_constraint,unknown,unknown,,"Conclusions affects RNA processing or translation will provide a more comprehen- sive understanding of the regulatory mechanism between PCBP2 and In summary, this study identified a critical role of UKLF in promoting UKLF.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:25Z
fc960449280c00a4,longevity,regulatory_risk,unknown,unknown,,For the regulatory expressed in CRC [38].,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:25Z
86b5bea6fd86a91e,longevity,decision_point,clinical,unknown,,"Further, Of note, some genes, such as PLK1 and FGF21, promote CRC progres- UKLF was highly expressed in CRC tissues from clinical patients sion, and their expression was downregulated after SLC39A4 knock- compared to matched para-cancer tissues.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:24Z
b9d1148586ee6a7e,longevity,manufacturing_constraint,unknown,unknown,,"cycle, TGF-beta signaling pathway and Rap1 signaling pathway UKLF is involved in various biological processes and thus plays an (Fig.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:24Z
ee4b16847782194f,longevity,decision_point,clinical,successful,,Effective treatments of CRC remain a significant clinical challenge.,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:24Z
0c95405746bd4f39,longevity,decision_point,clinical,unknown,,"caused by PCBP2 overexpression were inhibited by UKLF deficiency Based on these findings, SLC39A4 expression in clinical samples was (Fig.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:23Z
06579b23a0cfb3bf,longevity,decision_point,in_vitro,unknown,,"The cells were Differentiation subsequently analyzed with a flow cytometer (NovoCyte, Aceabio, Well 3 0 3 USA).",med,med,1,0,stem_cell:differentiation,,stem_cell:differentiation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
0d9c94b0876b40e0,longevity,efficacy_result,unknown,successful,,"volumes, whereas tumor volumes were decreased following UKLF Therefore, three biotin-labeled RNA probes for these potential binding knockdown, compared to the controls (Fig.",med,med,1,0,model:TUMOR,,model:TUMOR,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
1265dacb3091be62,longevity,decision_point,in_vivo,unknown,,"RNA immunoprecipitation (RIP) For in vivo experiments, 6-week-old male BALB/c nude mice were obtained from Chang Zhou Cavens Laboratory Animal Ltd.",med,med,1,2,model:Nude mice,model:IN VIVO; model:MOUSE,model:IN VIVO; model:Nude mice; model:MOUSE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
2181577b9ac1647d,longevity,method_evaluation,unknown,unknown,,UKLF expression is upregulated in CRC tissues immunoprecipitated complex was captured via incubation with Protein A/G beads for 2 h.,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
21a85645e7622725,longevity,decision_point,clinical,unknown,,The medium was replaced every two days until completion on Clinical parameters Cases UKLF expression level p value the fourteenth day.,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
36089eb6924d69b9,longevity,method_evaluation,unknown,unknown,,"After Poor 4 0 4 p =0.016 incubation with 5 μl AnnexinV-APC and 5 μl PI for 10 min, the samples were analyzed with a flow cytometer.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
3e80cdbb8191caa7,longevity,method_evaluation,unknown,unknown,,"performed, and the results were relatively similar to the enrichment Three biotin-labeled RNA probes from the 3′UTR of UKLF for RNA pull- results (Fig.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
4012f961c6748a71,longevity,decision_point,unknown,unknown,,All independent experiments were repeated >3 times.,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
4b16f9c09dcc77f0,longevity,decision_point,clinical,unknown,,"Subsequently, 4 clinical samples were randomly DepMap database.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
4c7b1ff3361ec271,longevity,decision_point,in_vivo,unknown,,"To determine the detailed interaction between PCBP2 and UKLF, The xenografts model was used to assess the effect of UKLF on tumor the bioinformatics analysis revealed that there were binding fragments growth in vivo.",med,med,2,1,model:Xenografts; model:TUMOR,model:IN VIVO,model:IN VIVO; model:Xenografts; model:TUMOR,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
52a78eed7b85af23,longevity,decision_point,in_vivo,unknown,,"UKLF promotes cell proliferation, migration and invasion CRC tissues (T) and matched para-cancer tissues (P) from clinical pa- tients at mRNA levels.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
74ef43e65b9cfb8b,longevity,decision_point,unknown,failed,,RNA-protein CRC or were assigned with unknown function were excluded from this 4,low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
a78e429506be1d9d,longevity,decision_point,unknown,unknown,,"Subsequently, relevant publications on these DEGs down.",low,low,0,0,,,,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,4841192c006beafd,2026-01-23T13:58:22Z
